,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
906,2s bot Qs bot,Qc bot Qh bot,KdKhAh-AdAc-,KdKhAh-AdAc-2sQs,KdKhAh-AdAc-2sQsQcQh,3d 2s Qs ,6d Qc Qh ,23.0,23.0,23.0,35.0,29.0,23.0,23.0,29.0,23.0,23.0,25.0,2s bot Qs bot,0.0,Qc bot Qh bot,0.0
907,4d bot 4c bot,Jd mid 6s bot,KdKhAh-AdAc-,KdKhAh-AdAc-4d4c,KdKhAh-AdAcJd-4d4c6s,4d 4c 7c ,Jd 2c 6s ,0.0,23.0,23.0,23.0,23.0,23.0,23.0,33.0,23.0,23.0,21.0,4d bot 4c bot,0.0,Jd mid 6s bot,0.0
908,4c bot 4s bot,7d mid 6s bot,KdKhAh-AdAc-,KdKhAh-AdAc-4c4s,KdKhAh-AdAc7d-4c4s6s,4c 4s 9s ,7d 6s As ,29.0,23.0,23.0,29.0,0.0,23.0,0.0,23.0,23.0,23.0,19.0,4c bot 4s bot,0.0,7d mid 6s bot,0.0
909,7h bot Th bot,3h bot 3s bot,KdKhAh-AdAc-,KdKhAh-AdAc-7hTh,KdKhAh-AdAc-7hTh3h3s,Jd 7h Th ,2c 3h 3s ,23.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,23.0,23.0,18.0,7h bot Th bot,0.0,3h bot 3s bot,0.0
910,Tc bot 8h bot,9c bot Jc bot,KdKhAh-AdAc-,KdKhAh-AdAc-Tc8h,KdKhAh-AdAc-Tc8h9cJc,Tc 3h 8h ,9c Jc 2s ,25.0,25.0,0.0,25.0,25.0,27.0,0.0,25.0,25.0,25.0,20.0,Tc bot 8h bot,0.0,9c bot Jc bot,0.0
911,8c bot Jh bot,Jc bot Js bot,KdKhAh-AdAc-,KdKhAh-AdAc-8cJh,KdKhAh-AdAc-8cJhJcJs,8c Jh 3s ,Jc 7s Js ,29.0,29.0,23.0,29.0,41.0,23.0,23.0,29.0,29.0,23.0,27.0,8c bot Jh bot,0.0,Jc bot Js bot,0.0
912,8h bot Ts bot,Tc bot 3h mid,KdKhAh-AdAc-,KdKhAh-AdAc-8hTs,KdKhAh-AdAc3h-8hTsTc,3d 8h Ts ,Tc 3h 6h ,33.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,23.0,19.0,8h bot Ts bot,0.0,Tc bot 6h mid,0.04899999999999949
913,Qc bot 9h bot,8c bot 7h mid,KdKhAh-AdAc-,KdKhAh-AdAc-Qc9h,KdKhAh-AdAc7h-Qc9h8c,2d Qc 9h ,6d 8c 7h ,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,9.0,Qc bot 9h bot,0.0,8c bot 7h mid,0.0
914,Qs bot As bot,Jc mid 3s bot,KdKhAh-AdAc-,KdKhAh-AdAc-QsAs,KdKhAh-AdAcJc-QsAs3s,7h Qs As ,Jc 4h 3s ,27.0,0.0,23.0,27.0,0.0,0.0,27.0,27.0,27.0,23.0,18.0,7h bot Qs mid,1.3933333333333344,Jc mid 3s bot,0.0
915,9h bot Ts bot,8d mid Tc bot,KdKhAh-AdAc-,KdKhAh-AdAc-9hTs,KdKhAh-AdAc8d-9hTsTc,9h 5s Ts ,8d Tc Qh ,23.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,29.0,23.0,12.0,5s bot Ts bot,0.3906666666666663,8d mid Tc bot,0.0
