,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
370,3s mid 5s mid,3d mid 5d mid,KdKh--AdAcAh,KdKh-3s5s-AdAcAh,KdKh-3s5s3d5d-AdAcAh,2d 3s 5s ,3d 5d Qd ,23.0,23.0,41.0,23.0,23.0,23.0,23.0,41.0,23.0,29.0,27.0,3s mid 5s mid,0.0,3d mid 5d mid,0.0
371,7d mid 2h top,4c mid Tc bot,KdKh--AdAcAh,KdKh2h-7d-AdAcAh,KdKh2h-7d4c-AdAcAhTc,7d 2h 9s ,4c Tc 3h ,0.0,0.0,0.0,0.0,33.0,25.0,0.0,33.0,33.0,0.0,12.0,7d mid 9s mid,1.8339999999999996,4c mid 3h mid,1.2190000000000012
372,8h mid 8s mid,8c mid 9s mid,KdKh--AdAcAh,KdKh-8h8s-AdAcAh,KdKh-8h8s8c9s-AdAcAh,Qc 8h 8s ,4d 8c 9s ,25.0,25.0,31.0,25.0,31.0,31.0,25.0,25.0,31.0,25.0,27.0,8h mid 8s mid,0.0,4d bot 8c mid,0.5326666666666675
373,5h mid Ts mid,Jh mid Qs bot,KdKh--AdAcAh,KdKh-5hTs-AdAcAh,KdKh-5hTsJh-AdAcAhQs,5h Ts Ks ,3h Jh Qs ,0.0,0.0,29.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,7.0,5h mid Ts mid,0.0,3h mid Jh bot,0.20633333333333326
374,8c mid Tc mid,8h mid 9h top,KdKh--AdAcAh,KdKh-8cTc-AdAcAh,KdKh9h-8cTc8h-AdAcAh,5c 8c Tc ,8h 9h 9s ,0.0,23.0,23.0,23.0,33.0,0.0,29.0,23.0,23.0,23.0,20.0,8c mid Tc mid,0.0,8h mid 9h top,0.0
375,Tc mid Qc mid,Jh mid 6s top,KdKh--AdAcAh,KdKh-TcQc-AdAcAh,KdKh6s-TcQcJh-AdAcAh,3c Tc Qc ,4d Jh 6s ,0.0,0.0,25.0,25.0,23.0,0.0,0.0,0.0,23.0,0.0,9.0,3c mid Qc mid,0.0666666666666682,Jh mid 6s bot,0.19599999999999973
376,3d mid 9h mid,2d top 7h bot,KdKh--AdAcAh,KdKh-3d9h-AdAcAh,KdKh2d-3d9h-AdAcAh7h,3d 4h 9h ,2d 7h Js ,0.0,23.0,0.0,35.0,25.0,0.0,23.0,0.0,0.0,0.0,10.0,3d mid 4h mid,0.47800000000000153,2d bot 7h mid,9.249333333333333
377,4h mid Qh mid,9h mid Js bot,KdKh--AdAcAh,KdKh-4hQh-AdAcAh,KdKh-4hQh9h-AdAcAhJs,4h 7h Qh ,9h 7s Js ,0.0,23.0,25.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,9.0,4h mid 7h mid,0.13533333333333353,9h mid Js bot,0.0
378,2c mid 2s mid,Td mid 8c bot,KdKh--AdAcAh,KdKh-2c2s-AdAcAh,KdKh-2c2sTd-AdAcAh8c,2c 2s 5s ,Td 8c Qc ,23.0,23.0,23.0,31.0,25.0,31.0,0.0,25.0,0.0,31.0,21.0,2c mid 2s mid,0.0,Td mid 8c mid,0.10600000000000165
379,Qd mid 3s mid,8h mid 4s top,KdKh--AdAcAh,KdKh-Qd3s-AdAcAh,KdKh4s-Qd3s8h-AdAcAh,6d Qd 3s ,8h 4s Ks ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6d mid Qd mid,0.6666666666666679,8h bot 4s mid,0.342666666666668
380,6c mid Qh top,5d mid 5c mid,KdKh--AdAcAh,KdKhQh-6c-AdAcAh,KdKhQh-6c5d5c-AdAcAh,6c Qh Ks ,5d 5c 9s ,0.0,0.0,45.0,25.0,0.0,31.0,25.0,23.0,23.0,23.0,19.0,6c mid Qh mid,0.9853333333333332,5d mid 5c mid,0.0
381,7h mid 5s mid,6h top 9s bot,KdKh--AdAcAh,KdKh-7h5s-AdAcAh,KdKh6h-7h5s-AdAcAh9s,3h 7h 5s ,6h Jh 9s ,25.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3h mid 7h mid,0.20133333333333248,6h mid Jh bot,10.527
382,Tc mid Th mid,Kc mid 8h bot,KdKh--AdAcAh,KdKh-TcTh-AdAcAh,KdKh-TcThKc-AdAcAh8h,Tc Th As ,9c Kc 8h ,23.0,23.0,25.0,29.0,25.0,23.0,0.0,29.0,23.0,31.0,23.0,Tc mid Th mid,0.0,9c bot 8h mid,3.0686666666666653
383,8h mid As bot,6c bot 5h mid,KdKh--AdAcAh,KdKh-8h-AdAcAhAs,KdKh-8h5h-AdAcAhAs6c,8h Ts As ,6c 3h 5h ,35.0,35.0,0.0,35.0,33.0,0.0,35.0,35.0,0.0,0.0,20.0,8h mid As bot,0.0,3h mid 5h mid,6.626999999999999
384,3h mid 5s mid,Jd top 5c mid,KdKh--AdAcAh,KdKh-3h5s-AdAcAh,KdKhJd-3h5s5c-AdAcAh,7c 3h 5s ,Jd 5c Ks ,0.0,0.0,29.0,29.0,23.0,23.0,23.0,35.0,29.0,23.0,21.0,7c mid 5s mid,0.2853333333333339,Jd mid 5c mid,0.21199999999999974
385,3s mid 4s bot,2c mid 3c mid,KdKh--AdAcAh,KdKh-3s-AdAcAh4s,KdKh-3s2c3c-AdAcAh4s,3s 4s 6s ,2c 3c 8h ,33.0,33.0,25.0,23.0,25.0,23.0,23.0,29.0,29.0,23.0,26.0,4s mid 6s mid,14.128,3c mid 8h mid,0.26966666666666583
386,Qh mid Qs mid,3c mid 3h mid,KdKh--AdAcAh,KdKh-QhQs-AdAcAh,KdKh-QhQs3c3h-AdAcAh,9h Qh Qs ,3c 3h Th ,29.0,41.0,41.0,23.0,41.0,23.0,23.0,41.0,41.0,23.0,32.0,Qh mid Qs mid,0.0,3c mid 3h mid,0.0
387,7d mid 8c mid,9c mid 9s mid,KdKh--AdAcAh,KdKh-7d8c-AdAcAh,KdKh-7d8c9c9s-AdAcAh,7d 8c Qc ,9c 3h 9s ,0.0,31.0,23.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,10.0,8c mid Qc mid,0.33399999999999963,9c mid 9s mid,0.0
388,Jd mid Jc mid,3c top 8s mid,KdKh--AdAcAh,KdKh-JdJc-AdAcAh,KdKh3c-JdJc8s-AdAcAh,Jd Jc 6s ,3c Qc 8s ,23.0,0.0,29.0,0.0,29.0,23.0,0.0,25.0,0.0,33.0,16.0,Jd mid Jc mid,0.0,3c mid 8s mid,0.907
389,2h mid 9h mid,5d mid 5c mid,KdKh--AdAcAh,KdKh-2h9h-AdAcAh,KdKh-2h9h5d5c-AdAcAh,2h 9h Js ,4d 5d 5c ,23.0,29.0,23.0,23.0,23.0,33.0,29.0,29.0,0.0,29.0,24.0,2h mid 9h mid,0.0,5d mid 5c mid,0.0
390,5c mid 5s mid,3c mid Ts bot,KdKh--AdAcAh,KdKh-5c5s-AdAcAh,KdKh-5c5s3c-AdAcAhTs,5c 5s 6s ,3c 8c Ts ,29.0,0.0,31.0,23.0,23.0,29.0,0.0,25.0,23.0,23.0,20.0,5c mid 5s mid,0.0,3c mid 8c mid,0.06400000000000006
391,Tc mid Ts mid,8d bot 9s mid,KdKh--AdAcAh,KdKh-TcTs-AdAcAh,KdKh-TcTs9s-AdAcAh8d,Tc 3s Ts ,5d 8d 9s ,31.0,23.0,0.0,31.0,25.0,0.0,0.0,29.0,31.0,23.0,19.0,Tc mid Ts mid,0.0,5d mid 8d mid,0.49299999999999855
392,4s mid Js mid,Qd bot 9h top,KdKh--AdAcAh,KdKh-4sJs-AdAcAh,KdKh9h-4sJs-AdAcAhQd,4s Ts Js ,Qd 7h 9h ,23.0,25.0,0.0,0.0,0.0,23.0,0.0,35.0,23.0,0.0,12.0,Ts mid Js mid,0.5866666666666678,Qd bot 7h mid,9.265666666666666
393,8d mid 9c mid,4c bot As bot,KdKh--AdAcAh,KdKh-8d9c-AdAcAh,KdKh-8d9c-AdAcAh4cAs,8d 9c 3s ,4c 3h As ,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,35.0,35.0,13.0,8d mid 9c mid,0.0,3h bot As bot,0.0
